result,input
-0.398511,0.000000
0.459992,1.000000
14.917864,2.000000
29.375732,3.000000
43.833607,4.000000
58.291473,5.000000
72.749344,6.000000
87.207222,7.000000
101.665092,8.000000
116.122955,9.000000
130.580826,10.000000
145.038696,11.000000
159.496567,12.000000
173.954437,13.000000
188.412308,14.000000
202.870178,15.000000
217.328049,16.000000
231.785934,17.000000
246.243790,18.000000
260.701691,19.000000
275.159546,20.000000
